Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	85.405869408	86.077869408	1800	4000	BTF
2	Spectrogram 1	1	86.659527944	87.331527944	1800	4000	BTF
3	Spectrogram 1	1	87.879040139	88.551040139	1800	4000	BTF
4	Spectrogram 1	1	88.547332822	89.219332822	1800	4000	BTF
5	Spectrogram 1	1	90.381478249	91.053478249	1800	4000	BTF
6	Spectrogram 1	1	92.161966054	92.833966054	1800	4000	BTF
7	Spectrogram 1	1	95.083917184	95.755917184	1800	4000	BTF
8	Spectrogram 1	1	97.118063525	97.790063525	1800	4000	BTF
9	Spectrogram 1	1	103.083916269	103.755916269	1800	4000	BTF
10	Spectrogram 1	1	105.176599106	105.848599106	1800	4000	BTF
11	Spectrogram 1	1	106.464403984	107.136403984	1800	4000	BTF
12	Spectrogram 1	1	107.610745447	108.282745447	1800	4000	BTF
13	Spectrogram 1	1	108.586355204	109.258355204	1800	4000	BTF
14	Spectrogram 1	1	150.059524305	150.731524305	1800	4000	BTF
15	Spectrogram 1	1	151.376597475	152.048597475	1800	4000	BTF
16	Spectrogram 1	1	160.527815983	161.199815983	1800	4000	BTF
17	Spectrogram 1	1	162.293669642	162.965669642	1800	4000	BTF
18	Spectrogram 1	1	163.376596382	164.048596382	1800	4000	BTF
19	Spectrogram 1	1	164.318059796	164.990059796	1800	4000	BTF
20	Spectrogram 1	1	204.405849487	205.077849487	1800	4000	BTF
21	Spectrogram 1	1	207.157068999	207.829068999	1800	4000	BTF
22	Spectrogram 1	1	223.376580836	224.048580836	1800	4000	BTF
23	Spectrogram 1	1	253.074141275	253.746141275	1800	4000	BTF
24	Spectrogram 1	1	279.839994397	280.511994397	1800	4000	BTF
25	Spectrogram 1	1	281.288774885	281.960774885	1800	4000	BTF
26	Spectrogram 1	1	285.005847966	285.677847966	1800	4000	BTF
27	Spectrogram 1	1	287.879018698	288.551018698	1800	4000	BTF
28	Spectrogram 1	1	293.957067299	294.629067299	1800	4000	BTF
29	Spectrogram 1	1	297.132677056	297.804677056	1800	4000	BTF
30	Spectrogram 1	1	304.283896389	304.955896389	1800	4000	BTF
31	Spectrogram 1	1	324.269261059	324.941261059	1800	4000	BTF
32	Spectrogram 1	1	327.80584551	328.47784551	1800	4000	BTF
33	Spectrogram 1	1	407.09852618	407.77052618	1800	4000	BTF
34	Spectrogram 1	1	408.454623741	409.126623741	1800	4000	BTF
35	Spectrogram 1	1	410.586330969	411.258330969	1800	4000	BTF
36	Spectrogram 1	1	416.879013806	417.551013806	1800	4000	BTF
37	Spectrogram 1	1	420.332672253	421.004672253	1800	4000	BTF
38	Spectrogram 1	1	425.191208749	425.863208749	1800	4000	BTF
39	Spectrogram 1	1	457.708280468	458.380280468	1800	4000	BTF
40	Spectrogram 1	1	477.074133769	477.746133769	1800	4000	BTF
41	Spectrogram 1	1	478.049743525	478.721743525	1800	4000	BTF
42	Spectrogram 1	1	480.093645964	480.765645964	1800	4000	BTF
43	Spectrogram 1	1	589.405838203	590.077838203	1800	4000	BTF
44	Spectrogram 1	1	590.927789423	591.599789423	1800	4000	BTF
45	Spectrogram 1	1	701.800956446	702.472956446	1800	4000	BTF
46	Spectrogram 1	1	746.771686434	747.443686434	1800	4000	BTF
47	Spectrogram 1	1	749.352174238	750.024174238	1800	4000	BTF
48	Spectrogram 1	1	758.327783816	758.999783816	1800	4000	BTF
49	Spectrogram 1	1	768.776563299	769.448563299	1800	4000	BTF
50	Spectrogram 1	1	797.942419484	798.614419484	1800	4000	BTF
51	Spectrogram 1	1	800.00095607	800.67295607	1800	4000	BTF
52	Spectrogram 1	1	800.596078021	801.268078021	1800	4000	BTF
53	Spectrogram 1	1	804.469248663	805.141248663	1800	4000	BTF
54	Spectrogram 1	1	805.810712078	806.482712078	1800	4000	BTF
55	Spectrogram 1	1	806.230224273	806.902224273	1800	4000	BTF
56	Spectrogram 1	1	808.352175403	809.024175403	1800	4000	BTF
57	Spectrogram 1	1	998.425342557	999.097342557	1800	4000	BTF
58	Spectrogram 1	1	1016.108269118	1016.780269118	1800	4000	BTF
59	Spectrogram 1	1	1018.932659272	1019.604659272	1800	4000	BTF
60	Spectrogram 1	1	1044.854610045	1045.526610045	1800	4000	BTF
61	Spectrogram 1	1	1047.366805077	1048.038805077	1800	4000	BTF
62	Spectrogram 1	1	1049.425341663	1050.097341663	1800	4000	BTF
63	Spectrogram 1	1	1050.849731907	1051.521731907	1800	4000	BTF
64	Spectrogram 1	1	1052.191195232	1052.863195232	1800	4000	BTF
65	Spectrogram 1	1	1054.108268402	1054.780268402	1800	4000	BTF
66	Spectrogram 1	1	1055.435097671	1056.107097671	1800	4000	BTF
67	Spectrogram 1	1	1057.327779682	1057.999779682	1800	4000	BTF
68	Spectrogram 1	1	1059.220462609	1059.892462609	1800	4000	BTF
69	Spectrogram 1	1	1060.53753578	1061.20953578	1800	4000	BTF
70	Spectrogram 1	1	1061.888755203	1062.560755203	1800	4000	BTF
71	Spectrogram 1	1	1062.791194227	1063.463194227	1800	4000	BTF
72	Spectrogram 1	1	1064.591194227	1065.263194227	1800	4000	BTF
73	Spectrogram 1	1	1067.244852674	1067.916852674	1800	4000	BTF
74	Spectrogram 1	1	1068.50338926	1069.17538926	1800	4000	BTF
75	Spectrogram 1	1	1069.557047796	1070.229047796	1800	4000	BTF
