Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	597.021456335	597.693456335	2548.813	3861.313	BTF
2	Spectrogram 1	1	625.610876408	626.282876408	2320.965	3633.465	BTF
3	Spectrogram 1	1	627.529575595	628.201575595	2305.775	3618.275	BTF
4	Spectrogram 1	1	628.310061854	628.982061854	2153.877	3466.377	BTF
5	Spectrogram 1	1	2904.126067547	2904.798067547	2412.104	3724.604	BTF
6	Spectrogram 1	1	2906.825254539	2907.497254539	2442.484	3754.984	BTF
7	Spectrogram 1	1	2972.878067078	2973.550067078	2533.623	3846.123	BTF
8	Spectrogram 1	1	4415.031909199	4415.703909199	1850.079	3162.579	BTF
9	Spectrogram 1	1	4417.491258793	4418.163258793	1880.459	3192.959	BTF
10	Spectrogram 1	1	4424.556296351	4425.228296351	1880.459	3192.959	BTF
11	Spectrogram 1	1	4439.454664151	4440.126664151	1880.459	3192.959	BTF
12	Spectrogram 1	1	5081.503177788	5082.175177788	2488.054	3800.554	BTF
13	Spectrogram 1	1	5083.430007056	5084.102007056	2548.813	3861.313	BTF
14	Spectrogram 1	1	5085.560086811	5086.232086811	2472.864	3785.364	BTF
15	Spectrogram 1	1	5128.950310354	5129.622310354	2700.712	4013.212	BTF
16	Spectrogram 1	1	6055.470231484	6056.142231484	2746.282	4058.782	BTF
17	Spectrogram 1	1	6061.104374734	6061.776374734	2564.003	3876.503	BTF
18	Spectrogram 1	1	6062.575919449	6063.247919449	2548.813	3861.313	BTF
19	Spectrogram 1	1	6069.77916839	6070.45116839	2169.066	3481.566	BTF
20	Spectrogram 1	1	6482.884690152	6483.556690152	2366.535	3679.035	BTF
21	Spectrogram 1	1	6519.465973697	6520.137973697	2442.484	3754.984	BTF
22	Spectrogram 1	1	6522.327760769	6522.999760769	2518.434	3830.934	BTF
23	Spectrogram 1	1	6527.596048086	6528.268048086	2472.864	3785.364	BTF
24	Spectrogram 1	1	6570.502522184	6571.174522184	2548.813	3861.313	BTF
25	Spectrogram 1	1	6574.848062237	6575.520062237	2442.484	3754.984	BTF
26	Spectrogram 1	1	6576.392777684	6577.064777684	2336.155	3648.655	BTF
27	Spectrogram 1	1	6615.213897082	6615.885897082	2670.332	3982.832	BTF
28	Spectrogram 1	1	6619.165115048	6619.837115048	2579.193	3891.693	BTF
29	Spectrogram 1	1	6653.376484794	6654.048484794	2624.763	3937.263	BTF
30	Spectrogram 1	1	6692.945571671	6693.617571671	2731.092	4043.592	BTF
31	Spectrogram 1	1	6695.144757117	6695.816757117	2624.763	3937.263	BTF
32	Spectrogram 1	1	6700.579714921	6701.251714921	2731.092	4043.592	BTF
33	Spectrogram 1	1	6702.766705245	6703.438705245	2609.573	3922.073	BTF
34	Spectrogram 1	1	6703.807355651	6704.479355651	2427.294	3739.794	BTF
35	Spectrogram 1	1	6755.644733928	6756.316733928	2594.383	3906.883	BTF
